time,open,high,low,close,Volume,Long Entry,Long Exit,KD,J,RSI,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment,URANIUM,USDKRW,US10Y,US02Y,ALUMINUM,LITHUSD,REMX,XAUUSD,BTCUSD,IXIC,FXCM COPPER (FX:COPPER)
2019-12-16T13:00:00+09:00,7080,7099.8,7052.7,7052.7,17463279.85,0,0,,,,0.21,3.71,-6.2777972737876295,1.61,-0.07,96.8,,1175.07,1.82430005,1.60780001,,,39.87,1476.328,7115.08,8734.88,2.7822
2019-12-16T17:00:00+09:00,7100,7129.1,7055.8,7088,74834047.00999998,0,0,,,,0.21,3.71,-6.2777972737876295,1.61,-0.07,96.8,,1175.07,1.82430005,1.60780001,,,39.87,1476.328,7115.08,8734.88,2.7822
2019-12-16T21:00:00+09:00,7088.4,7137,7073.7,7081.3,71461711.47,0,1,,,,0.21,3.71,-6.2777972737876295,1.61,-0.07,96.8,,1175.07,1.82430005,1.60780001,,,39.87,1476.328,7115.08,8734.88,2.7822
2019-12-17T01:00:00+09:00,7084.8,7110.8,6825.7,6907.9,251601973.66000003,0,0,,,,0.21,3.71,-6.2777972737876295,1.61,-0.07,96.8,,1175.07,1.82430005,1.60780001,,,39.87,1476.328,7115.08,8734.88,2.7822
2019-12-17T05:00:00+09:00,6903.6,6916.8,6843,6889.1,92640626.03,0,0,,,,0.24,3.62,-6.266416998791526,1.61,-0.07,96.8,,1166.98,1.87310004,1.63039994,,,39.75,1476.195,6882.19,8814.23,2.806
2019-12-17T09:00:00+09:00,6892.9,6904.2,6862.2,6880.3,77506325.83000001,0,0,,,,0.24,3.62,-6.266416998791526,1.61,-0.07,96.8,,1166.98,1.87310004,1.63039994,,,39.75,1476.195,6882.19,8814.23,2.806
2019-12-17T13:00:00+09:00,6879.1,6892.4,6863.3,6869.5,74139981.58000001,0,0,,,,0.24,3.62,-6.266416998791526,1.61,-0.07,96.8,,1166.98,1.87310004,1.63039994,,,39.75,1476.195,6882.19,8814.23,2.806
2019-12-17T17:00:00+09:00,6870,6953.7,6851.1,6924.8,206568794.82,0,0,,,,0.24,3.62,-6.266416998791526,1.61,-0.07,96.8,,1166.98,1.87310004,1.63039994,,,39.75,1476.195,6882.19,8814.23,2.806
2019-12-17T21:00:00+09:00,6926,6926.2,6661.7,6696.5,461076095.42,0,0,,,,0.24,3.62,-6.266416998791526,1.61,-0.07,96.8,,1166.98,1.87310004,1.63039994,,,39.75,1476.195,6882.19,8814.23,2.806
2019-12-18T01:00:00+09:00,6697.9,6732.8,6565.5,6617.4,269818136.21999997,0,0,,,,0.24,3.62,-6.266416998791526,1.61,-0.07,96.8,,1166.98,1.87310004,1.63039994,,,39.75,1476.195,6882.19,8814.23,2.806
2019-12-18T05:00:00+09:00,6614.2,6686.5,6541.2,6624,289327041.97,0,0,,,,0.26,3.58,-6.265773430117801,1.61,-0.07,96.8,,1162.65,1.88189995,1.62650001,,,39.93,1476.186,6612.3,8823.36,2.809
2019-12-18T09:00:00+09:00,6623.8,6720.1,6595,6687.4,267632281.18,0,0,,,,0.26,3.58,-6.265773430117801,1.61,-0.07,96.8,,1162.65,1.88189995,1.62650001,,,39.93,1476.186,6612.3,8823.36,2.809
2019-12-18T13:00:00+09:00,6683.8,6707.6,6571.1,6624.5,365014808.37,0,0,15.514245220747005,22.563317815487224,,0.26,3.58,-6.265773430117801,1.61,-0.07,96.8,,1162.65,1.88189995,1.62650001,,,39.93,1476.186,6612.3,8823.36,2.809
2019-12-18T17:00:00+09:00,6622.3,6660,6577.5,6613.2,291496842.21000004,0,0,16.10206910814089,21.096165123995714,,0.26,3.58,-6.265773430117801,1.61,-0.07,96.8,,1162.65,1.88189995,1.62650001,,,39.93,1476.186,6612.3,8823.36,2.809
2019-12-18T21:00:00+09:00,6614.2,6864.4,6415.7,6823.7,1631268728.5299997,0,1,29.487351712632083,65.44760623178749,6.420922570016501,0.26,3.58,-6.265773430117801,1.61,-0.07,96.8,,1162.65,1.88189995,1.62650001,,,39.93,1476.186,6612.3,8823.36,2.809
2019-12-19T01:00:00+09:00,6827.5,6988.5,6775.5,6949.6,721067557.86,0,1,44.44679007306877,99.82551323373819,21.559750350982128,0.26,3.58,-6.265773430117801,1.61,-0.07,96.8,,1162.65,1.88189995,1.62650001,,,39.93,1476.186,6612.3,8823.36,2.809
2019-12-19T05:00:00+09:00,6961.7,7498.2,6943.8,7285,1451815817.9499998,0,1,53.6458861014076,104.33298775258939,49.76034970429417,0.29,3.51,-6.264844834848903,1.61,-0.07,96.8,,1166.07,1.91859996,1.63279998,,,39.51,1475.47,7286.91,8827.73,2.8093
2019-12-19T09:00:00+09:00,7286.8,7390.8,7125.7,7157.2,769454505.73,0,0,58.07292373014082,94.4840686275648,38.212581294085396,0.29,3.51,-6.264844834848903,1.61,-0.07,96.8,,1166.07,1.91859996,1.63279998,,,39.51,1475.47,7286.91,8827.73,2.8093
2019-12-19T13:00:00+09:00,7153.6,7166.1,7055.9,7094,481739274.02,0,0,59.90152347297248,82.67859527876357,32.927087100836246,0.29,3.51,-6.264844834848903,1.61,-0.07,96.8,,1166.07,1.91859996,1.63279998,,,39.51,1475.47,7286.91,8827.73,2.8093
2019-12-19T17:00:00+09:00,7094,7208.9,7040,7142.1,885032750.02,0,0,62.00821454066234,78.66347811278256,36.66364206503238,0.29,3.51,-6.264844834848903,1.61,-0.07,96.8,,1166.07,1.91859996,1.63279998,,,39.51,1475.47,7286.91,8827.73,2.8093
2019-12-19T21:00:00+09:00,7142.1,7246.7,7046.7,7136.7,1776839451.8600001,0,0,63.39985735131977,75.20659616402348,36.169551384577886,0.29,3.51,-6.264844834848903,1.61,-0.07,96.8,,1166.07,1.91859996,1.63279998,,,39.51,1475.47,7286.91,8827.73,2.8093
