time,open,high,low,close,Volume,Long Entry,Long Exit,KD,J,RSI,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment,URANIUM,USDKRW,US10Y,US02Y,ALUMINUM,LITHUSD,REMX,XAUUSD,BTCUSD,IXIC,FXCM COPPER (FX:COPPER)
2020-02-03,9342.7,9632.7,9251.5,9304.3,211693600.8882424,0,0,78.25440713178594,84.19894141414977,60.89497803574852,0.18,3.97,-6.447611141692291,1.94,0,101,,1189.29,1.52890003,1.35699999,,,35.49,1576.731,9288.09,9273.4,2.5045
2020-02-04,9302.4,9365,9110,9197.9,196586516.64278492,0,0,74.10183768786112,66.69268121923096,54.34410431048205,0.2,3.85,-6.416601143570429,1.94,0,101,,1182.4,1.60080004,1.41299999,,,37.59,1552.917,9159.37,9467.97,2.545
2020-02-05,9197.8,9790,9184.2,9626.5,264091346.79855028,0,1,75.58083606038682,75.57375375738596,67.83950873154205,0.22,3.75,-6.408579022676856,1.94,0,101,,1182.9,1.65260005,1.44509995,,,38.88,1556.204,9618.42,9508.68,2.5855
2020-02-06,9627.3,9880,9550.1,9780,274246926.08267736,0,1,78.1211566653424,84.46841702623092,71.84081965926947,0.21,3.7,-6.406015391785826,1.94,0,101,,1184.78,1.64390004,1.44719994,,,38.31,1566.68,9754.63,9572.15,2.5975
2020-02-07,9780.9,9890,9742,9819.5,181414929.659215,0,1,81.11562507251682,91.77542627089716,72.86011634706801,0.18,3.75,-6.423725023635796,1.94,0,101,,1190.89,1.58519995,1.4052,,,37.32,1570.384,9803.42,9520.51,2.5472
2020-02-08,9818.5,9950,9680,9898.1,140394268.82736006,0,1,84.176021432239,97.15691293073465,74.92844619607612,0.18,3.75,-6.423725023635796,1.94,0,101,,1190.89,1.58519995,1.4052,,,37.32,1570.384,9902,9520.51,2.5472
2020-02-09,9898,10188,9885.8,10168.1,183462054.5765126,0,1,87.57070067354682,102.54784452606421,81.43207701562662,0.18,3.75,-6.423725023635796,1.94,0,101,,1190.89,1.58519995,1.4052,,,37.32,1570.384,10173.97,9520.51,2.5472
2020-02-10,10168.1,10215.8,9750,9858.1,237213984.81745493,0,0,83.47723224694835,80.73213310671088,62.137422964695304,0.19,3.75,-6.428574201861296,1.67,0,101,,1186.67,1.57140005,1.39709997,,,38.13,1572.216,9850.01,9628.39,2.5548
2020-02-11,9858.2,10430.9,9735,10221,321770439.23750526,0,0,83.55669385638501,82.38279830985792,71.52957893701785,0.18,3.65,-6.409943076467773,1.67,0,101,,1180.75,1.601,1.425,,,39.06,1567.848,10268.98,9638.94,2.5796
2020-02-12,10221,10498.9,10221,10331.7,291380439.0848645,0,1,84.50949672202765,86.3045561128707,74.07234773379051,0.18,3.59,-6.404338042656868,1.67,0,101,,1178.01,1.637,1.446,,,41.04,1565.846,10348.78,9725.96,2.6043
2020-02-13,10331.8,10544.9,10100,10237,348998171.6800367,0,0,82.96326341754369,79.9952098517553,68.52253751668849,0.17,3.57,-6.4039213572502165,1.67,0,101,,1183.08,1.622,1.448,,,40.56,1576.088,10228.67,9711.97,2.6145
2020-02-14,10236.1,10407.1,10120,10351.8,191619758.8460775,0,0,82.36970660735355,79.40178779898403,71.46615352059857,0.17,3.56,-6.413903458363953,1.67,0,101,,1181.96,1.587,1.43,,,40.86,1583.846,10364.04,9731.18,2.6006
2020-02-15,10351.8,10382.8,9732.8,9910.5,217864218.71447286,0,0,69.9217024598128,37.317732686776196,48.06383748585489,0.17,3.56,-6.413903458363953,1.67,0,101,,1181.96,1.587,1.43,,,40.86,1583.846,9899.78,9731.18,2.6006
2020-02-16,9910.6,10049.3,9640,9917,221460200.67379493,0,0,60.46148419612581,20.50895365038997,48.278278530301804,0.17,3.56,-6.413903458363953,1.67,0,101,,1181.96,1.587,1.43,,,40.86,1583.846,9912.89,9731.18,2.6006
2020-02-17,9916.1,9971.2,9460,9709.6,315576828.67717236,0,0,51.250371191694526,8.24632340774842,38.51899086970268,0.17,3.56,-6.413903458363953,1.6,0,101,,1184.75,1.5883,1.4319,,,40.86,1581.208,9697.15,9731.18,2.6283
2020-02-18,9710,10276,9601,10173.9,234127246.47479764,0,0,53.528709830186614,37.72253253444376,53.69742393366346,0.14,3.61,-6.422957656422029,1.6,0,101,,1190.45,1.563,1.416,,,40.59,1601.418,10185.17,9732.74,2.6092
2020-02-19,10175.4,10274,9275,9595.2,263182623.57500726,0,0,46.885433444794884,22.374153833444154,31.16678856348905,0.14,3.57,-6.427290367187758,1.6,0,101,,1192,1.568,1.426,,,39.09,1611.686,9595.72,9817.18,2.607
2020-02-20,9594.6,9696.9,9380,9597.3,180270335.2667172,0,0,41.56174228286778,15.996874572374665,31.237088860891376,0.13,3.62,-6.439604645942948,1.6,0,101,,1204.21,1.519,1.393,,,38.94,1619.617,9612.76,9750.96,2.589
2020-02-21,9597.4,9755,9551.8,9677.1,122717793.4860875,0,0,38.79411594736118,19.092616253348126,34.03063067127772,0.12,3.66,-6.449219385511842,1.6,0,101,,1206.41,1.476,1.358,,,38.64,1643.397,9696.13,9576.59,2.6
2020-02-22,9677,9707.5,9566.2,9650.2,60839055.88296239,0,0,37.10026765277261,23.014897069294634,32.973277912530776,0.12,3.66,-6.449219385511842,1.6,0,101,,1206.41,1.476,1.358,,,38.64,1643.397,9668.13,9576.59,2.6
2020-02-23,9650.2,10010,9649,9932.7,103573079.9066649,0,1,41.73607157667001,46.28289609467451,42.97662730290118,0.12,3.66,-6.449219385511842,1.6,0,101,,1206.41,1.476,1.358,,,38.64,1643.397,9965.21,9576.59,2.6
2020-02-24,9932.7,9991,9492.8,9659.1,233913922.108315,0,0,41.08945807594975,41.746336583151376,32.00758141947881,0.12,4.03,-6.477897280533529,1.61,0,101,,1218.58,1.372,1.254,,,36.3,1658.73,9652.58,9221.28,2.5685
2020-02-25,9658.1,9671.9,9239.7,9323.5,175320397.88277516,0,0,33.770056125762544,15.799990503895359,20.41189737235011,0.13,4.18,-6.461516662377631,1.61,0,101,,1214.89,1.354,1.229,,,36.03,1634.872,9305.4,8965.61,2.5635
2020-02-26,9321.7,9384.1,8577.1,8787.3,315556007.8835456,0,0,28.615755918365977,6.744972588940968,5.62096137192141,0.17,4.27,-6.459461791731718,1.61,0,101,,1211.81,1.342,1.171,,,35.79,1640.942,8779.36,8980.77,2.5616
2020-02-27,8788.7,8971,8511.1,8826.8,193911719.75345993,0,0,25.750235531928,7.65104290112054,7.214534525885398,0.19,4.62,-6.459485364125932,1.61,0,101,,1212.13,1.262,1.066,,,34.71,1644.62,8816.5,8566.48,2.5502
